Fire Year,District,Unit,Fire Number,Fire Name,Legal,Fuel Model,County,Report Date,General Cause,ODF Acres,Total Acres
2020,51 - Tillamook,Tillamook,1,BILLBOARD FIRE,T1S R9W S28 NWNW,A,Tillamook,7/16/20 14:45,Debris Burning,0,0.1
2020,51 - Tillamook,Tillamook,34,MILEPOST 10 FIRE,T1S R8W S9 NWNE,L,Tillamook,7/27/20 13:08,Equipment Use,0.01,0.01
2020,51 - Tillamook,Tillamook,38,DERRICK ROAD FIRE,T3S R10W S17 NWSW,A,Tillamook,8/1/20 15:14,Equipment Use,0.08,0.08
2020,51 - Tillamook,Tillamook,53,32315 BOULDER FIRE,T2N R9W S6 SWNW,H,Tillamook,8/14/20 16:43,Equipment Use,0.23,0.23
2020,51 - Tillamook,Tillamook,68,HWY 6 BOAT FIRE,T1N R7W S2 NWSE,X,Tillamook,9/6/20 16:00,Equipment Use,0.08,0.08
2020,51 - Tillamook,Tillamook,69,Pike Road,T1S R10W S1,,Tillamook,9/7/20 22:00,Under Invest,301,301
2020,51 - Tillamook,Tillamook,70,Blimp Base,T2S R9W S9 SENW,L,Tillamook,9/7/20 22:00,Equipment Use,9,9
2020,51 - Tillamook,Tillamook,71,HWY 6 MP 7,T1S R8W S18 NENE,H,Tillamook,9/9/20 18:36,Equipment Use,0.76,0.76
2020,52 - Astoria,Astoria,1,Windy Ridge,T8N R6W S7 SESE,K,Clatsop,7/1/20 17:05,Juveniles,0.75,0.75
2020,52 - Astoria,Astoria,5,Mire 2.0,T8N R9W S27 NWSW,X,Clatsop,7/8/20 14:41,Debris Burning,0,0.01
2020,52 - Astoria,Astoria,7,Bug Hole Fire,T9N R7W S34 SWNW,L,Clatsop,7/10/20 12:30,Debris Burning,0,0.8
2020,52 - Astoria,Astoria,12,Rusty Hatchet Fire,T8N R7W S21 NENW,H,Clatsop,7/21/20 16:54,Recreationist,0,0.01
2020,52 - Astoria,Astoria,13,Gamagoat,T8N R10W S32 SESE,F,Clatsop,7/25/20 14:00,Recreationist,0.53,0.53
2020,52 - Astoria,Astoria,14,The Good Fire,T8N R10W S27 SENW,H,Clatsop,7/27/20 13:00,Debris Burning,0,0.01
2020,52 - Astoria,Astoria,15,Thousand Gallons,T6N R10W S3 SWNE,L,Clatsop,7/27/20 19:00,Debris Burning,0,0.01
2020,52 - Astoria,Astoria,30,THE DOUBLE TAKE,T9N R11W S35 NENE,U,Clatsop,8/16/20 13:30,Recreationist,0,0.01
2020,52 - Astoria,Astoria,31,Cascara Fire,T5N R9W S20 NENW,F,Clatsop,8/17/20 13:15,Recreationist,0,0.01
2020,52 - Astoria,Astoria,35,Dike Fire,T8N R10W S5 SESE,F,Clatsop,8/20/20 8:00,Recreationist,0,0.01
2020,52 - Astoria,Astoria,47,Lost Lake 4,T4N R7W S17 NWNW,X,Clatsop,9/6/20 21:00,Recreationist,0.01,0.01
2020,52 - Astoria,Astoria,54,Pope-Meeker,T5N R7W S33 NESW,L,Clatsop,9/7/20 23:45,Juveniles,0.01,0.01
2020,52 - Astoria,Astoria,59,Wireless Road,T8N R9W S20 NWSE,X,Clatsop,9/9/20 6:40,Debris Burning,0,0.01
2020,52 - Astoria,Astoria,65,OSTER RD PILE,T6N R10W S10 NENE,H,Clatsop,9/11/20 13:30,Debris Burning,0.01,0.01
2020,52 - Astoria,Astoria,67,Black Iredale,T8N R10W S18 NENW,L,Clatsop,3/15/20 19:45,Smoking,0.64,0.64
2020,52 - Astoria,Astoria,72,Wrong Turn Burn,T5N R10W S10 NESE,X,Clatsop,9/24/20 13:45,Debris Burning,0,0.01
2020,52 - Astoria,Astoria,85,Last Minute,T7N R8W S8 SESW,I,Clatsop,10/14/20 15:35,Recreationist,0.01,0.01
2020,53 - Forest Grove,Forest Grove,1,N Fork Wolk Creek Fire,T4N R6W S36 NWSW,J,Clatsop,7/7/20 7:45,Recreationist,0.25,0.25
2020,53 - Forest Grove,Columbia City,1,Colvin Road #1,T7N R5W S2 SESE,X,Columbia,7/14/20 16:37,Debris Burning,0.01,0.01
2020,53 - Forest Grove,Forest Grove,2,Parsons Road Fire,T2N R4W S19 SWNE,,Washington,7/14/20 15:15,No Fire,0.43,0.43
2020,53 - Forest Grove,Columbia City,2,Otto Miller Rd. #1,T3N R2W S13 SESE,K,Washington,7/20/20 7:42,Recreationist,0.01,0.01
2020,53 - Forest Grove,Forest Grove,3,Gopher Valley/Grauer Roa,T5S R6W S24 NWNW,,Yamhill,7/15/20 17:47,Debris Burning,0.25,
2020,53 - Forest Grove,Forest Grove,4,Adea Pile,T2S R4W S12 SESW,K,Yamhill,7/15/20 19:12,Debris Burning,0.1,0.1
2020,53 - Forest Grove,Columbia City,4,Robinette Road #1,T5N R1W S31 SWNE,,Columbia,7/21/20 18:44,Under Invest,0,
2020,53 - Forest Grove,Forest Grove,6,Hoffman Road Fire,T3N R4W S9 SWSW,,Washington,7/16/20 20:54,Equipment Use,0.1,0.1
2020,53 - Forest Grove,Forest Grove,8,High Heaven,T3S R5W S32 SWNW,H,Yamhill,7/20/20 19:01,Miscellaneous,0.25,0.25
2020,53 - Forest Grove,Forest Grove,12,Reservoir Road Fire,T2S R4W S30 SWSE,,Yamhill,7/30/20 11:10,Smoking,0.5,
2020,53 - Forest Grove,Columbia City,12,Crosby Road #1,T5N R2W S34 NESE,,Columbia,8/4/20 16:10,Miscellaneous,0.1,
2020,53 - Forest Grove,Forest Grove,14,Timber Road Mulch Fire,T3N R5W S27 SWSE,,Washington,8/2/20 7:26,Debris Burning,0.25,
2020,53 - Forest Grove,Columbia City,14,"Hwy 30, MP 33",T5N R1W S17,,Columbia,8/5/20 14:45,Equipment Use,0.01,
2020,53 - Forest Grove,Forest Grove,20,Latham Road Field Fire,T5S R5W S30 NENE,,Yamhill,8/14/20 10:39,Equipment Use,1,
2020,53 - Forest Grove,Columbia City,22,Hwy 30/Justin Way,T7N R3W S18 NWNE,,Columbia,8/26/20 15:25,Under Invest,0,
2020,53 - Forest Grove,Forest Grove,24,Siedelman Road Fire,T3N R4W S5 NWNE,J,Washington,8/16/20 9:16,Under Invest,2,
2020,53 - Forest Grove,Forest Grove,26,Kiacut Road Truck Fire,T2S R4W S4 NESE,A,Yamhill,8/22/20 16:59,Equipment Use,0.1,0.1
2020,53 - Forest Grove,Forest Grove,26,Kinney Creek Fire,T2N R6W S5 NENW,J,Washington,4/14/20 14:52,Equipment Use,7,7
2020,53 - Forest Grove,Forest Grove,28,Murphy Slash,T2N R3W S19 SESE,,Washington,5/29/20 17:28,Debris Burning,1,
2020,53 - Forest Grove,Forest Grove,29,Wiley Road Fire,T5S R6W S14 SESW,A,Yamhill,8/27/20 13:39,Equipment Use,0.05,0.05
2020,53 - Forest Grove,Columbia City,32,Hwy 30 Alston Mayger,T7N R3W S9 SWSE,A,Columbia,9/7/20 13:32,Equipment Use,1,1
2020,53 - Forest Grove,Forest Grove,39,N Fork Landing Burn,T4N R6W S36 NWSW,,,9/8/20 9:03,Miscellaneous,0,
2020,53 - Forest Grove,Columbia City,39,Pittsburg/Gensman Roads,T5N R2W S35 NWNE,,Columbia,9/7/20 23:35,Miscellaneous,0.25,
2020,53 - Forest Grove,Forest Grove,40,Peavine,T4S R5W S22 NESE,F,Yamhill,9/8/20 11:00,Equipment Use,0,0.1
2020,53 - Forest Grove,Columbia City,43,Pisgah Home Rd. #1,,,Columbia,9/8/20 17:16,Under Invest,0.25,0.25
2020,53 - Forest Grove,Forest Grove,48,Gopher Valley Lightning,T4S R6W S22 SENE,K,Yamhill,9/18/20 9:24,Lightning,0.1,0.1
2020,53 - Forest Grove,Forest Grove,49,Powerline Lightning N,T3N R3W S3 NWSW,K,Washington,9/19/20 9:05,Lightning,0.01,0.01
2020,53 - Forest Grove,Columbia City,49,Nehalem Hwy N #2,T5N R4W S11 NWSW,F,Columbia,3/20/20 16:05,Debris Burning,0.25,0.25
2020,53 - Forest Grove,Forest Grove,50,NL210 Rd Positive Strike,T1N R4W S32 SESE,,Washington,9/19/20 16:30,Lightning,0.1,
2020,53 - Forest Grove,Columbia City,50,Clark Road #1,T6N R3W S24 NWNE,J,Columbia,5/1/20 19:05,Miscellaneous,0.2,0.2
2020,53 - Forest Grove,Columbia City,52,Olson Road #1,T7N R4W S16 NESW,J,Columbia,5/9/20 14:52,Debris Burning,0.25,0.25
2020,53 - Forest Grove,Columbia City,56,Chapman Grange #1,T4N R3W S25 NWNW,,Columbia,9/29/20 19:18,Debris Burning,0.01,
2020,55 - Western Oregon,Toledo,1,MP 18,T9S R10W S15 NWNE,X,Lincoln,7/17/20 19:00,Arson,0,0
2020,55 - Western Oregon,Philomath,2,Powerline,T14S R8W S8 NESE,F,Benton,7/12/20 16:56,Equipment Use,0.26,0.26
2020,55 - Western Oregon,Toledo,2,Hwy 229 Fire,T9S R10W S7 SWNW,H,Lincoln,7/22/20 11:32,Debris Burning,0.01,0.01
2020,55 - Western Oregon,Dallas,5,Mill Cr Blanket,T7S R6W S9 NWNW,F,Polk,7/25/20 18:34,Recreationist,0.01,0.01
2020,55 - Western Oregon,Toledo,5,William Cr.,T10S R9W S1 NENW,X,Lincoln,8/11/20 9:00,Equipment Use,0.01,0.01
2020,55 - Western Oregon,Philomath,6,Harris,T11S R6W S28 SWSW,L,Benton,7/26/20 17:00,Debris Burning,0.18,0.18
2020,55 - Western Oregon,Dallas,6,Willamina Cliff,T6S R7W S1 SENW,C,Yamhill,7/26/20 14:31,Equipment Use,0.4,0.4
2020,55 - Western Oregon,Philomath,7,Bunker Hill,T13S R6W S34 SESE,L,Benton,8/5/20 19:27,Equipment Use,0.01,0.01
2020,55 - Western Oregon,Dallas,10,Tarter Rd,T9S R6W S25 NWSW,G,Polk,8/9/20 15:49,Equipment Use,0.39,0.39
2020,55 - Western Oregon,Dallas,11,Limestone,T8S R6W S13 NWSW,L,Polk,8/9/20 17:13,Equipment Use,0.01,0.01
2020,55 - Western Oregon,Dallas,12,18 Valley,T6S R7W S9 SWSW,L,Polk,8/11/20 16:14,Equipment Use,0.39,0.39
2020,55 - Western Oregon,Toledo,12,South Drift Cr. Rd.,T8S R11W S12 NWNW,J,Lincoln,8/27/20 15:59,Recreationist,0.1,0.1
2020,55 - Western Oregon,Dallas,13,Rob Mill,T7S R6W S26 NESE,H,Polk,8/15/20 15:54,Equipment Use,0.15,0.15
2020,55 - Western Oregon,Dallas,14,Live Wire,T6S R7W S8 SENW,R,Polk,8/15/20 17:47,Equipment Use,0.01,0.01
2020,55 - Western Oregon,Toledo,17,Alsea River Fire,T14S R9W S5 SESW,L,Lincoln,3/18/20 17:00,Debris Burning,1.8,1.8
2020,55 - Western Oregon,Toledo,17,Salmon River MP 4,T6S R10W S34 SWSW,H,Lincoln,9/7/20 23:02,Equipment Use,0,0.01
2020,55 - Western Oregon,Philomath,18,Wells Corners,T13S R7W S1 NENE,H,Benton,9/7/20 14:25,Recreationist,0.01,0.01
2020,55 - Western Oregon,Toledo,18,Echo Mountain,T6S R10W S34 NWNW,H,Lincoln,9/7/20 23:43,Under Invest,1246.94,1879.01
2020,55 - Western Oregon,Toledo,19,Kimberling Mt,T6S R9W S30 SWNE,H,Lincoln,9/8/20 0:44,Under Invest,279.66,281.75
2020,55 - Western Oregon,Toledo,20,Terrace,T13S R11W S27 SENE,H,Lane,9/8/20 1:10,Equipment Use,0.3,0.3
2020,55 - Western Oregon,Philomath,22,Yew Cr.,T13S R7W S15 NESW,H,Benton,9/7/20 21:22,Equipment Use,2,2
2020,55 - Western Oregon,Dallas,22,Mill Cr. Park,T7S R6W S4 SWSE,H,Polk,9/8/20 16:17,Recreationist,4.5,4.5
2020,55 - Western Oregon,Dallas,23,Hidden Ranch 2,T8S R6W S12 SESE,A,Polk,9/9/20 16:00,Under Invest,0.01,0.01
2020,55 - Western Oregon,Philomath,25,Foster Rd,T14S R6W S14 SENE,L,Benton,9/9/20 20:56,Miscellaneous,0.01,0.01
2020,55 - Western Oregon,Philomath,28,County Line Strike,T10S R6W S8 SENW,H,Benton,9/19/20 5:52,Lightning,0.02,0.02
2020,58 - North Cascade,Molalla,1,Wildcat,T6S R1E S2 SENW,L,Clackamas,7/16/20 13:50,Equipment Use,3,3
2020,58 - North Cascade,Santiam,2,McCoy Creek,T10S R7E S7 SENW,J,Marion,7/11/20 14:50,Recreationist,2.5,2.5
2020,58 - North Cascade,Santiam,3,Diane Rd,T6S R2E S31 SESW,L,Marion,7/16/20 13:45,Miscellaneous,0.5,0.5
2020,58 - North Cascade,Molalla,5,Barlow Trail,T2S R7E S19 SWSW,F,Clackamas,7/20/20 14:45,Equipment Use,0.1,0.1
2020,58 - North Cascade,Molalla,6,Starr Rd Fire,T3S R3E S12 SWSW,X,Clackamas,7/21/20 12:00,Debris Burning,0.01,0.01
2020,58 - North Cascade,Santiam,7,Old Rusty Fire,T9S R1W S12 NESE,F,Marion,7/21/20 12:30,Debris Burning,0.2,0.2
2020,58 - North Cascade,Santiam,9,Silver Fork,T8S R2E S7 SESE,J,Marion,7/21/20 13:45,Debris Burning,0.1,0.1
2020,58 - North Cascade,Santiam,11,Pioneer Fire,T9S R2E S22 SWNE,F,Marion,7/27/20 14:15,Equipment Use,0.1,0.1
2020,58 - North Cascade,Molalla,16,Clear Creek,T2S R7E S27 NWSE,H,Clackamas,7/31/20 13:35,Under Invest,0.1,0.1
2020,58 - North Cascade,Santiam,18,Little Rock Fire,T10S R3E S1 SWSW,,Linn,8/11/20 17:35,Under Invest,0.25,
2020,58 - North Cascade,Molalla,21,Clark Park Fire,T5S R2E S9 NENE,L,Clackamas,8/11/20 12:36,Smoking,0.01,0.01
2020,58 - North Cascade,Santiam,21,Mill Fire,T9S R2E S20 SWSW,,Linn,8/27/20 14:20,Miscellaneous,0.05,
2020,58 - North Cascade,Santiam,22,Evans Mnt. Campfire,T8S R4E S29 SENW,,Marion,8/28/20 12:53,Recreationist,0.01,
2020,58 - North Cascade,Molalla,23,oz Pit Fire,T5S R4E S12 NWSE,K,Clackamas,8/13/20 13:00,Recreationist,0.01,0.01
2020,58 - North Cascade,Santiam,23,Rock Creek Campfire,T10S R3E S4,,Linn,8/29/20 11:49,Recreationist,0.01,
2020,58 - North Cascade,Molalla,24,Skinner Pile,T4S R5E S10 NWSW,J,Clackamas,8/15/20 14:45,Miscellaneous,0.01,0.01
2020,58 - North Cascade,Molalla,25,Valley Vista,T4S R3E S31 NWNW,H,Clackamas,8/16/20 16:15,Miscellaneous,0.01,0.01
2020,58 - North Cascade,Molalla,27,Dover Ct,T2S R5E S31 SWSE,,Clackamas,8/19/20 17:42,Debris Burning,0.1,
2020,58 - North Cascade,Molalla,28,Kowall Grass Fire,T3S R5E S18 NWSW,L,Clackamas,8/23/20 13:00,Miscellaneous,2.25,2.25
2020,58 - North Cascade,Molalla,30,Baty Rd. Fire,T2S R5E S23 NWNE,,Clackamas,8/28/20 17:40,Debris Burning,0.01,
2020,58 - North Cascade,Molalla,33,Pine Creek,T6S R3E S30 NWSW,,Clackamas,9/2/20 11:30,Under Invest,2,
2020,58 - North Cascade,Molalla,34,Comer Coop,T5S R1E S35 NWSE,,Clackamas,9/5/20 14:00,Miscellaneous,,
2020,58 - North Cascade,Molalla,37,BC 316 Pile,T7S R3E S30 SENW,,Clackamas,9/6/20 14:20,Debris Burning,0.01,
2020,58 - North Cascade,Molalla,38,Powerline Smoke,T6S R3E S6 NWNE,,Clackamas,9/7/20 15:00,Miscellaneous,0.01,
2020,58 - North Cascade,Molalla,40,Unger Rd,T4S R3E S23 SWSW,,Clackamas,9/7/20 23:00,Miscellaneous,5,
2020,58 - North Cascade,Molalla,41,Wilhoit,T6S R2E S8 NESW,,Clackamas,9/7/20 14:00,Miscellaneous,200,
2020,58 - North Cascade,Molalla,42,Riverside (ODF),T6S R6E S15 SWSE,,Clackamas,9/7/20 19:12,Miscellaneous,7,
2020,71 - Southwest,Medford,2,Old Stage Rd 9804,T36S R3W S22 NENW,A,Jackson,7/1/20 13:37,Equipment Use,0.01,0.01
2020,71 - Southwest,Grants Pass,2,Slate Creek 960,T37S R7W S18 SENW,A,Josephine,7/1/20 17:27,Equipment Use,0.67,0.67
2020,71 - Southwest,Medford,3,Conley Springs,T33S R3E S3 SESE,K,Jackson,7/1/20 14:05,Recreationist,0.1,0.1
2020,71 - Southwest,Grants Pass,6,PP-B10125/New Hope 6700,T37S R6W S24 NWNW,A,Josephine,7/3/20 18:24,Equipment Use,0.01,0.01
2020,71 - Southwest,Medford,11,Agate Rd,T36S R1W S5 SWNW,A,Jackson,7/4/20 22:02,Recreationist,0.25,0.25
2020,71 - Southwest,Grants Pass,11,Reel Lane 100,T36S R6W S34 NWNE,L,Josephine,7/4/20 21:59,Recreationist,0.01,0.01
2020,71 - Southwest,Grants Pass,12,Lenella Ln 510,T36S R5W S15 NWNW,A,Josephine,7/4/20 22:57,Recreationist,0.01,0.01
2020,71 - Southwest,Medford,17,N De Anjou Ave,T35S R1W S34 SESW,A,Jackson,7/7/20 19:06,Recreationist,0,0.1
2020,71 - Southwest,Medford,20,Hyatt Prairie Road,T39S R3E S16 SENE,X,Jackson,7/7/20 13:17,Recreationist,0.01,0.01
2020,71 - Southwest,Medford,21,Agate Road 10995,T36S R1W S5 NWNW,A,Jackson,7/8/20 17:45,Debris Burning,0.25,0.25
2020,71 - Southwest,Grants Pass,22,Placer Road 3562,T34S R5W S8 SENE,A,Josephine,7/8/20 18:45,Equipment Use,1.2,1.2
2020,71 - Southwest,Medford,31,Hwy 140 MM 25.5,T36S R3E S36 SESE,A,Jackson,7/13/20 17:25,Equipment Use,0.1,0.1
2020,71 - Southwest,Grants Pass,32,Brookside Blvd 457,T35S R6W S26 SENW,A,Josephine,7/11/20 11:57,Equipment Use,0.01,0.01
2020,71 - Southwest,Medford,33,HWY 140 MM 26,T37S R3E S6 NENE,A,Jackson,7/15/20 8:41,Equipment Use,0,0.01
2020,71 - Southwest,Medford,36,Hwy 140 mm 20,T36S R3E S31 NWSE,K,Jackson,7/15/20 16:35,Equipment Use,0.01,0.01
2020,71 - Southwest,Medford,37,Emigrant Creek,T39S R2E S20 NESW,A,Jackson,7/15/20 19:40,Smoking,0.25,0.25
2020,71 - Southwest,Medford,38,Tolo Rd 5325,T36S R2W S32 NESW,A,Jackson,7/13/20 3:25,Equipment Use,0.25,0.25
2020,71 - Southwest,Medford,39,Shady Brook Dr 6344,T36S R2W S29 NWSW,A,Jackson,7/16/20 10:27,Equipment Use,0.5,0.5
2020,71 - Southwest,Medford,40,Arnold Ln 1475,T37S R2W S34 NWSW,A,Jackson,7/16/20 18:05,Debris Burning,0,0.1
2020,71 - Southwest,Medford,41,HWY 62 20975,T34S R1W S21 NENE,A,Jackson,7/17/20 21:37,Smoking,0,0.01
2020,71 - Southwest,Grants Pass,42,Jonathan St 143,T35S R6W S22 SWNW,A,Josephine,7/13/20 20:36,Debris Burning,0.25,0.25
2020,71 - Southwest,Medford,43,Griffin Creek Rd 4442,T38S R2W S15 NENE,C,Jackson,7/17/20 15:34,Juveniles,4,4
2020,71 - Southwest,Medford,48,Memorial,T38S R2E S27 NESW,R,Jackson,7/19/20 13:18,Equipment Use,61,61
2020,71 - Southwest,Medford,49,Robleda Dr 255,T35S R2W S28 NWSW,A,Jackson,7/19/20 15:45,Miscellaneous,0.1,0.1
2020,71 - Southwest,Grants Pass,50,PPD3877 White School Rd,T39S R8W S36 NENW,A,Josephine,7/14/20 18:52,Equipment Use,0.01,0.01
2020,71 - Southwest,Grants Pass,51,Steam Beer Mine,T34S R6W S6 SWNE,F,Josephine,7/15/20 5:33,Smoking,2,2
2020,71 - Southwest,Grants Pass,52,Finch Road #6,T39S R8W S9 NWNW,F,Josephine,7/15/20 8:56,Miscellaneous,0.01,0.01
2020,71 - Southwest,Medford,53,HWY 62 MP 8,T36S R1W S16 NENW,A,Jackson,7/21/20 17:40,Equipment Use,0,0.25
2020,71 - Southwest,Grants Pass,53,Panther Gulch 1100,T39S R5W S2 NESE,A,Josephine,7/15/20 12:40,Equipment Use,0.63,0.63
2020,71 - Southwest,Grants Pass,54,Leaning Pine 121,T35S R6W S15 NESE,A,Josephine,7/15/20 12:52,Smoking,0.1,0.1
2020,71 - Southwest,Grants Pass,62,PP-354800/Plumtree,T35S R6W S35 NENW,C,Josephine,7/16/20 19:57,Equipment Use,0.01,0.01
2020,71 - Southwest,Grants Pass,63,PP-15-7/Camp Joy,T35S R6W S25 SESW,A,Josephine,7/17/20 11:24,Equipment Use,0.01,0.01
2020,71 - Southwest,Medford,74,Upper River Rd 1777,T36S R3W S10 NESE,C,Jackson,7/26/20 17:28,Equipment Use,0.01,0.01
2020,71 - Southwest,Medford,79,Obenchain,T35S R1E S26 NWSE,A,Jackson,7/26/20 23:10,Lightning,0.3,0.3
2020,71 - Southwest,Medford,80,S. Fork Clarks Creek,T34S R2E S1 NWSW,C,Jackson,7/27/20 6:48,Lightning,0.3,0.3
2020,71 - Southwest,Medford,81,I5 MM 9,T40S R2E S6 SENE,A,Jackson,7/27/20 7:12,Equipment Use,0,0.01
2020,71 - Southwest,Medford,83,Dudley Mountain,T34S R2E S1 SWNW,C,Jackson,7/27/20 10:12,Lightning,0.1,0.1
2020,71 - Southwest,Medford,84,Dudley Two,T34S R2E S2 SWNW,F,Jackson,7/27/20 10:38,Lightning,0.1,0.1
2020,71 - Southwest,Medford,85,Jenny Creek,T48N R5W S14 SESE,K,Other St.,7/27/20 13:31,Lightning,13,13
2020,71 - Southwest,Grants Pass,86,Redwood Hwy 23121,T38S R8W S33 SWSE,A,Josephine,7/20/20 11:03,Miscellaneous,0.01,0.01
2020,71 - Southwest,Medford,87,Butte Falls Hwy MM 11,T34S R1E S36 SWNE,A,Jackson,7/27/20 17:28,Equipment Use,0.01,0.01
2020,71 - Southwest,Grants Pass,90,Kerby Mainline,T39S R8W S3 SENE,B,Josephine,7/20/20 18:38,Miscellaneous,0.1,0.1
2020,71 - Southwest,Grants Pass,91,Kerby Mainline #2,T39S R8W S2 SENW,K,Josephine,7/20/20 19:13,Equipment Use,0.01,0.01
2020,71 - Southwest,Medford,98,HWY 62 MM 26,T33S R1W S36 SWNW,A,Jackson,7/29/20 23:18,Equipment Use,0.01,0.01
2020,71 - Southwest,Medford,99,Tolo Road 6687,T36S R2W S29 NENW,A,Jackson,7/29/20 15:45,Miscellaneous,0.01,0.01
2020,71 - Southwest,Medford,102,Worthington,T35S R1E S21 NWNW,C,Jackson,7/30/20 15:18,Lightning,761,761
2020,71 - Southwest,Grants Pass,104,Gunnell Rd 248,T36S R7W S12 SESE,A,Josephine,7/23/20 12:18,Equipment Use,0.01,0.01
2020,71 - Southwest,Grants Pass,109,NB I5 MP 59.5,T36S R5W S6 NENW,X,Josephine,7/24/20 9:08,Under Invest,0.01,0.01
2020,71 - Southwest,Medford,111,Upper Applegate,T40S R3W S8 NENW,L,Jackson,8/1/20 11:15,Equipment Use,2.2,2.2
2020,71 - Southwest,Medford,114,Meadows School,T34S R2W S20 SESE,H,Jackson,8/1/20 15:30,Smoking,0.1,0.1
2020,71 - Southwest,Grants Pass,115,Allen Creek 2444,T36S R6W S25 NWSE,H,Josephine,7/24/20 20:15,Juveniles,0.01,0.01
2020,71 - Southwest,Grants Pass,117,Jack Creek Rd,T34S R5W S22 SESW,A,Josephine,7/25/20 2:18,Equipment Use,0.01,0.01
2020,71 - Southwest,Grants Pass,119,Foothill Blvd,T36S R5W S14 NWSW,A,Josephine,7/25/20 12:42,Equipment Use,0.76,0.76
2020,71 - Southwest,Medford,123,I 5 SB MM 11 Off Ramp,T39S R1E S25 NWNE,X,Jackson,8/2/20 19:12,Equipment Use,0,0
2020,71 - Southwest,Medford,125,Little Applegate 2644,T39S R3W S13 NWSE,C,Jackson,8/3/20 19:01,Smoking,0.1,0.1
2020,71 - Southwest,Grants Pass,125,I-5 MP 71,T34S R6W S11 NWSW,C,Josephine,7/26/20 6:25,Miscellaneous,0.01,0.01
2020,71 - Southwest,Grants Pass,137,N Applegate Rd 10199,T37S R5W S27 SENW,A,Josephine,7/27/20 15:33,Equipment Use,0.27,0.27
2020,71 - Southwest,Medford,140,Old Stage Rd 4400,T37S R2W S5 SENW,A,Jackson,8/9/20 11:32,Equipment Use,0.01,0.01
2020,71 - Southwest,Grants Pass,141,Azalea Dr,T35S R6W S33 NWSW,C,Josephine,7/27/20 20:46,Miscellaneous,0.01,0.01
2020,71 - Southwest,Grants Pass,142,Azalea Dr #2,T35S R6W S33 NWSW,C,Josephine,7/27/20 20:46,Equipment Use,0.01,0.01
2020,71 - Southwest,Grants Pass,143,Azalea Dr #3,T35S R6W S33 SESW,C,Josephine,7/27/20 20:46,Equipment Use,0.01,0.01
2020,71 - Southwest,Grants Pass,146,Hidden Valley Ln 200,T35S R4W S34 SENE,C,Josephine,7/28/20 9:02,Smoking,0.01,0.01
2020,71 - Southwest,Medford,148,Conestoga,T37S R2W S32 NESW,C,Jackson,8/10/20 14:18,Miscellaneous,1,1
2020,71 - Southwest,Medford,150,Elk Creek Road MM 12,T32S R1E S13 NWSE,,Jackson,8/11/20 17:21,Equipment Use,0.01,0.01
2020,71 - Southwest,Medford,157,Lampman Rd 2254,T36S R3W S17 SWSE,R,Jackson,8/13/20 19:19,Smoking,0,0.01
2020,71 - Southwest,Grants Pass,158,Holland Loop 4055,T40S R8W S1 NWNW,A,Josephine,7/29/20 15:31,Equipment Use,0.47,0.47
2020,71 - Southwest,Grants Pass,160,Merlin Rd 450,T35S R6W S21 SENW,C,Josephine,7/29/20 17:15,Smoking,0.01,0.01
2020,71 - Southwest,Medford,163,Steinmetz Creek,T33S R3W S18 NWSW,H,Jackson,8/14/20 22:00,Equipment Use,0.25,0.25
